NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Min Chul,Jang,MC,kr,233,36,509852.06,117
Min Chul,Jang,MC,kr,233,36,509852.06,117
Jae Duk,Lim,NesTea,kr,482,81,288225.07,57
Jong Hyun,Jung,Mvp,kr,314,51,409621.15,69
Sung Hoon,Choi,Polt,kr,281,45,451943.24,139
Jung Hoon,Lee,MarineKing,kr,698,109,212397.14,87
Sung Joon,Park,July,kr,638,101,230774.13,57
Jung Hoon,Kim,TOP,kr,3148,438,44650.54,34
Sung Won,Moon,MMA,kr,316,52,407169.17,111
Yoon Yeol,Lee,NaDa,kr,420,69,323389.66,71
Kang Ho,Hwang,LosirA,kr,1300,196,114305.31,106
Jung-Hwan,Lee,anypro,kr,6727,806,16680.31,8
Cho-Won,Kang,san,kr,1367,211,109440.09,61
Hong Wook,Ahn,HongUn,kr,4429,569,29392.10,14
Joon Hyuk,Song,InCa,kr,4029,517,33270.85,18
Seung Chul,Kim,sCsC,kr,525,86,270494.48,60
Kyu Jong,Han,Clide,kr,6229,757,18537.36,18
Jonathan,Walsh,Jinro,se,4431,171,29366.92,15
Hyun Woo,Byun,Byun,kr,308,49,419827.07,245
Min Soo,Jung,Genius,kr,1600,245,93775.14,39
Ki Soo,Seo,TricksteR,kr,6061,743,19351.02,17
Chris,Loranger,HuK,ca,1002,30,151758.87,117
Jung Min,Choi,Zenio,kr,4342,554,30185.48,34
Dong Ju,Kim,GanZI,kr,3833,499,35315.75,30
Sang Cheol,Kim,Ensnare,kr,5597,696,21405.83,10
Hoon Jung,Ji,Jjakji,kr,1121,176,133917.25,106
Dong Nyung,Lee,Leenock,kr,481,80,288257.14,135
Jong Hwan,Choi,CoCa,kr,5582,695,21502.85,27
Sang Ho,Shin,Swagger,kr,4677,595,27185.70,32
Young Jin,Kim,SuperNoVa,kr,2416,360,61924.61,81
Dong Won,Kim,Ryung,kr,1388,216,108009.18,132
Ji Sung,Choi,Bomber,kr,539,89,267297.83,90
Ho Jin,Ahn,Happy,kr,5812,717,20282.07,23
Joon Yong,Park,Virus,kr,6650,799,16929.44,16
Lee Seok,Han,aLive,kr,732,112,204079.55,225
Joon Sik,Yang,Alicia,kr,1583,240,94907.10,47
Joon,Han,Kyrix,kr,5649,702,21076.53,10
Kyo Seok,Hwang,KeeN,kr,1599,244,93866.46,195
Won Ki,Kim,FruitDealer,kr,1454,225,103075.12,13
Sang Jun,Kim,Puzzle,kr,5613,700,21283.06,25
Hak Soo,Kim,Oz,kr,1965,297,76789.77,40
Chan Min,Kim,TheBest,kr,6363,773,18064.37,17
Hyung Joo,Lee,Check,kr,1642,253,91361.98,78
Joon,Park,Lyn,kr,226,33,529240.60,154
Hyung Seop,Lee,Choya,kr,5844,722,20158.76,27
Sang Ik,Park,TheWinD,kr,7717,897,13784.77,13
Sung Je,Kim,RainBOw,kr,2097,315,71066.76,28
Seo Yong,Park,Rain,kr,3772,494,36043.76,17
Yo Hwan,Lim,BoxeR,kr,881,136,171858.91,55
Yoo Jong,Kim,Hyperdub,kr,12694,1278,6153.66,7
Do Joon,Chae,Noblesse,kr,811,126,184037.54,43
Seung Il,Jung,YuGiOh,kr,6564,793,17223.84,26
Dae Jin,Lee,asd,kr,7663,894,13926.54,15
Dong Hwan,Kim,viOLet,kr,794,120,187755.93,94
Myung Deok,Seo,VanVanth,kr,17097,1574,3520.74,7
Han Eol,Kwak,Maka,kr,9668,1063,9922.57,10
Soo Ho,Kim,Line,kr,8861,994,11183.14,17
Man Hyuk,Cho,JookTo,kr,11910,1226,6918.62,16
Soo Ho,Park,DongRaeGu,kr,479,79,290550.08,124
Dmytro,Filipchuk,DIMAGA,ua,2147,44,69422.67,101
Payam,Toghyan,TT1,ca,5721,190,20809.51,22
Greg,Fields,IdrA,us,2003,397,75044.87,56
Young Suh,Yoon,TaeJa,kr,453,75,303704.63,118
Dong Hyun,Kim,RevivaL,kr,2498,367,59554.96,69
Won Pyo,Lee,Curious,kr,1868,280,80860.78,66
Byung Jae,Koh,GuMiho,kr,653,105,227258.15,286
Doh Hyung,Hwang,Min,kr,12046,1242,6778.20,11
Kyung Soo,Kim,LegalMind,kr,17008,1566,3558.61,4
Woo Seo,Jung,aMeBa,kr,5085,633,24234.80,25
Siam,Kim,August,kr,27029,2150,1340.83,4
Andrew,Pender,mOOnGLaDe,au,4386,83,29907.66,25
Hyun Woo,Park,Squirtle,kr,1622,250,92282.22,50
Jung Hoon,Kim,Tassadar,kr,12066,1244,6759.42,25
Jae Ho,Jang,Moon,kr,172,13,648075.43,158
Jung Hwan,Kim,Cezanne,kr,20838,1785,2380.90,7
Aleksey,Krupnyk,White-Ra,ua,2368,47,63177.77,61
Stefan,Andersson,MorroW,se,3222,141,43303.29,57
Chia Cheng,Yang,Sen,tw,1028,17,147879.66,71
Gyung Lak,Park,Junwi,kr,4989,626,24889.15,15
Seung Ju,Baek,ButterflyEffect,kr,29634,2309,1062.18,4
Hye Joon,Jung,Jjun,kr,26919,2145,1359.41,7
Hyun Woo,Jang,Creator,kr,1064,171,142276.34,148
Joong Hyuk,Cho,Dream,kr,1426,219,105123.04,127
Byung Hyun,Choi,YoDa,kr,1784,270,84119.07,52
